queries,union,intersection,IoU
An animal bathing.,17,17,1.0
An animal running.,66,66,1.0
An animal browsing.,6,6,1.0
A roe deer grazing.,10,10,1.0
A juvenile red deer scratching its body.,7,7,1.0
A male adult roe deer jumping.,2,2,1.0
A wolf chasing.,4,4,1.0
A male adult red deer rubbing its antlers on the ground.,42,42,1.0
A juvenile red deer playing.,2,2,1.0
An adult red deer browsing.,2,2,1.0
A hare.,5,5,1.0
A marten.,2,2,1.0
A hare foraging.,4,4,1.0
A chamois.,5,5,1.0
A fox foraging.,4,4,1.0
A chamois in vigilance.,2,2,1.0
"An animal foraging, then reacting to a camera and then going back to foraging.",6,6,1.0
A female adult red deer reacting to a camera.,13,13,1.0
A wolf foraging.,2,2,1.0
A roe deer trotting while foraging.,6,6,1.0
A mountain hare in vigilance.,3,3,1.0
A mountain hare grazing.,1,1,1.0
An animal stretching its body.,2,2,1.0
An animal resting.,34,34,1.0
A video of an animal laying down while resting.,33,33,1.0
A red deer browsing.,2,2,1.0
An animal running while foraging.,31,31,1.0
A video of an animal drinking.,8,8,1.0
An animal participating in courtship.,38,38,1.0
A rainy weather.,54,54,1.0
An adult red deer standing head up while participating in courtship.,27,27,1.0
An adult red deer vocalizing while participating in courtship.,35,35,1.0
A video showing individuals from at least two different species.,3,3,1.0
An adult female red deer running while participating in courtship.,1,1,1.0
An adult male red deer pawing the ground while wallowing.,20,20,1.0
An adult male red deer pawing the ground and rubbing its antlers on the ground while wallowing.,13,13,1.0
A video of two or more animals.,97,97,1.0
An adult male red deer in vigilance after vocalizing.,16,16,1.0
A juvenile red deer walking while in vigilance.,3,3,1.0
A video of three or more red deer.,11,11,1.0
An adult female red deer foraging and a juvenile red deer foraging.,52,52,1.0
A juvenile red deer nursing.,2,2,1.0
A video of two or more wolves.,1,1,1.0
Two or more red deer foraging and at least one is also in vigilance at some point.,23,23,1.0
A video of two or more juvenile red deer.,4,4,1.0
An animal escaping from another animal of a different species chasing it.,2,2,1.0
An animal escaping from another animal of the same species chasing it.,4,4,1.0
A juvenile red deer suckling.,1,1,1.0
A roe deer foraging in a rainy weather.,3,3,1.0
A red deer foraging in a rainy weather.,39,39,1.0
An animal running while reacting to a camera.,9,9,1.0
An animal looking at a camera.,22,22,1.0
A male adult red deer reacting to a camera.,13,13,1.0
A roe deer foraging in a sunny weather.,3,3,1.0
A wolf chasing in a clear weather.,2,2,1.0
An adult female red deer nursing.,2,2,1.0
An adult roe deer reacting to a camera.,1,1,1.0
An adult red deer reacting to a camera.,26,26,1.0
A red deer foraging in a sunny weather.,18,18,1.0
A juvenile red deer reacting to a camera.,2,2,1.0
An animal reacting to a camera.,30,30,1.0
A juvenile red deer doing at least one different action than an adult female red deer.,35,34,0.9714285714285714
A juvenile red deer doing the exact same activities as an adult female red deer.,33,32,0.9696969696969697
An animal in vigilance while the weather is clear or sunny.,133,122,0.9172932330827067
A video of two red deer.,70,59,0.8428571428571429
An animal bathing while grooming.,6,5,0.8333333333333334
An animal reacting to a camera and then running away.,12,9,0.75
A single adult red deer only foraging.,535,351,0.6560747663551402
An adult red deer laying down while participating in courtship.,9,5,0.5555555555555556
An animal reacting to the camera while the weather is clear or sunny.,45,24,0.5333333333333333
An animal reacting to a camera and then foraging.,22,11,0.5
An animal in vigilance while the weather is rainy or overcast.,95,47,0.49473684210526314
A juvenile red deer doing the exact same actions as an adult female red deer.,52,23,0.4423076923076923
An animal doing any other activity than foraging.,721,294,0.4077669902912621
An adult male red deer bathing while wallowing.,11,4,0.36363636363636365
A video of two female adult red deer walking while foraging.,105,11,0.10476190476190476
An animal reacting to the camera while the weather is rainy or overcast.,70,6,0.08571428571428572
An animal that is neither a red deer nor a roe deer.,720,22,0.030555555555555555
A video of two adult roe deer sniffing while reacting to a camera.,1,0,0.0
"An animal foraging, then reacting to a camera and then running away.",2,0,0.0
A female adult roe deer sniffing.,0,0,
A juvenile roe deer preparing to suckle.,0,0,
A chamois resting.,0,0,
A fox sniffing while foraging.,0,0,
A fox chasing.,0,0,
A juvenile red deer shaking its head or its body.,0,0,
A juvenile roe deer foraging.,0,0,
A red deer resting while it is raining.,0,0,
A juvenile red deer playing in a clear weather.,0,0,
A video of two adult red deer vocalizing while participating in courtship.,0,0,
An adult male red deer running while participating in courtship.,0,0,
A video of one adult male and one adult female red deer running while participating in courtship.,0,0,
An adult male roe deer running while participating in courtship.,0,0,
An adult female roe deer running while participating in courtship.,0,0,
A video of one adult male and one adult female roe deer running while participating in courtship.,0,0,
An adult male red deer urinating while wallowing.,0,0,
A red deer vocalizing while it is raining.,0,0,
A roe deer participating in courtship while it is raining.,0,0,
A red deer participating in courtship while it is raining.,0,0,
A roe deer running in a rainy weather while participating in courtship.,0,0,
A video of three or more red deer escaping.,0,0,
A video of three or more male adult red deer walking while foraging.,0,0,
A juvenile roe deer suckling.,0,0,
A wolf chasing in an overcast weather.,0,0,
A fox chasing in a clear weather.,0,0,
A female adult red deer escaping in a sunny weather.,0,0,
A video of three or more red deer reacting to a camera.,0,0,
A juvenile roe deer reacting to a camera.,0,0,
A female adult roe deer reacting to a camera.,0,0,
A fox reacting to a camera.,0,0,
A wolf reacting to a camera.,0,0,
An empty video.,0,0,
